name,description,alias,type,has_cli,has_native_addon,has_wasm,related
string/kebabcase,Convert a string to kebab case.,kebabcase,Function,true,false,false,string/camelcase;string/constantcase;string/pascalcase;string/snakecase
string/last,Return the last character(s) of a string.,last,Function,true,false,false,string/first
string/left-pad,Left pad a string.,lpad,Function,true,false,false,string/pad;string/right-pad
string/left-trim-n,Trim `n` characters from the beginning of a string.,ltrimN,Function,true,false,false,string/right-trim-n;string/trim
string/left-trim,Trim whitespace characters from the beginning of a string.,ltrim,Function,true,false,false,string/trim;string/right-trim
string/lowercase,Convert a string to lowercase.,lowercase,Function,true,false,false,string/uncapitalize;string/uppercase
string/next-code-point-index,Return the position of the next Unicode code point in a string after a specified position.,,,true,false,false,
string/next-grapheme-cluster-break,Return the next extended grapheme cluster break in a string after a specified position.,nextGraphemeClusterBreak,Function,true,false,false,string/num-grapheme-clusters;string/prev-grapheme-cluster-break
string/num-code-points,Return the number of code points in a string.,,,true,false,false,
string/num-grapheme-clusters,Return the number of grapheme clusters in a string.,numGraphemeClusters,Function,true,false,false,string/next-grapheme-cluster-break
string/num2words,Convert a number to a word representation.,num2words,Function,true,false,false,
string,String manipulation functions.,,,false,false,false,
string/pad,Pad a string.,pad,Function,true,false,false,string/left-pad;string/right-pad
string/pascalcase,Convert a string to Pascal case.,pascalcase,Function,true,false,false,string/camelcase;string/constantcase;string/kebabcase;string/snakecase
string/percent-encode,Percent-encode a UTF-16 encoded string according to RFC 3986.,percentEncode,Function,true,false,false,
string/prev-grapheme-cluster-break,Return the previous extended grapheme cluster break in a string before a specified position.,prevGraphemeClusterBreak,Function,true,false,false,string/num-grapheme-clusters;string/next-grapheme-cluster-break
string/remove-first,Remove the first character(s) of a string.,removeFirst,Function,true,false,false,string/remove-last
string/remove-last,Remove the last character(s) of a string.,removeLast,Function,true,false,false,string/remove-first
string/remove-punctuation,Remove punctuation characters from a string.,removePunctuation,Function,true,false,false,
string/remove-utf8-bom,Remove a UTF-8 byte order mark (BOM) from the beginning of a string.,removeUTF8BOM,Function,true,false,false,
string/remove-words,Remove a list of words from a string.,removeWords,Function,true,false,false,
string/repeat,Repeat a string a specified number of times and return the concatenated result.,repeat,Function,true,false,false,string/pad
string/replace-before,Replace the substring before the first occurrence of a specified search string.,replaceBefore,Function,true,false,false,
string/replace,Replace search occurrences with a replacement string.,replace,Function,true,false,false,
string/reverse,Reverse a string.,reverseString,Function,true,false,false,
string/right-pad,Right pad a string.,rpad,Function,true,false,false,string/left-pad;string/pad
string/right-trim-n,Trim `n` characters from the end of a string.,rtrimN,Function,true,false,false,string/left-trim-n;string/trim
string/right-trim,Trim whitespace characters from the end of a string.,rtrim,Function,true,false,false,string/left-trim;string/trim
string/snakecase,Convert a string to snake case.,snakecase,Function,true,false,false,string/camelcase;string/constantcase;string/kebabcase;string/pascalcase
string/split-grapheme-clusters,Split a string by its grapheme cluster breaks.,,,false,false,false,
string/startcase,Capitalize the first letter of each word in a string.,startcase,Function,true,false,false,string/lowercase;string/uppercase
string/starts-with,Test if a string starts with the characters of another string.,startsWith,Function,true,false,false,string/ends-with
string/substring-after-last,Return the part of a string after the last occurrence of a specified substring.,substringAfterLast,Function,true,false,false,string/substring-before;string/substring-before-last;string/substring-after
string/substring-after,Return the part of a string after a specified substring.,substringAfter,Function,true,false,false,string/substring-before;string/substring-before-last;string/substring-after-last
string/substring-before-last,Return the part of a string before the last occurrence of a specified substring.,substringBeforeLast,Function,true,false,false,string/substring-before;string/substring-after;string/substring-after-last
string/substring-before,Return the part of a string before a specified substring.,substringBefore,Function,true,false,false,string/substring-before-last;string/substring-after;string/substring-after-last
string/to-grapheme-cluster-iterator-right,Create an iterator which iterates from right to left over grapheme clusters.,graphemeClusters2iteratorRight,Function,false,false,false,array/to-iterator-right;string/to-grapheme-cluster-iterator
string/to-grapheme-cluster-iterator,Create an iterator which iterates over grapheme clusters.,graphemeClusters2iterator,Function,false,false,false,array/to-iterator;string/to-grapheme-cluster-iterator-right
string/to-well-formed,Convert a string to a well formed string.,,,false,false,false,
string/tools/grapheme-cluster-break,Grapheme cluster break tooling.,,,false,false,false,
string/tools,String tools.,,,false,false,false,
string/trim,Trim whitespace characters from the beginning and end of a string.,trim,Function,true,false,false,string/left-trim;string/pad;string/right-trim
string/truncate-middle,Truncate a string in the middle to a specified length.,truncateMiddle,Function,true,false,false,string/truncate
string/truncate,Truncate a string to a specified length.,truncate,Function,true,false,false,string/truncate-middle
string/uncapitalize,Uncapitalize the first character of a string.,uncapitalize,Function,true,false,false,string/capitalize;string/lowercase
string/uppercase,Convert a string to uppercase.,uppercase,Function,true,false,false,string/capitalize;string/lowercase
string/utf16-to-utf8-array,Convert a UTF-16 encoded string to an array of integers using UTF-8 encoding.,utf16ToUTF8Array,Function,false,false,false,
symbol/async-iterator,Async iterator symbol.,AsyncIteratorSymbol,symbol,false,false,false,symbol/ctor;symbol/iterator
symbol/ctor,Symbols.,Symbol,Function,false,false,false,
symbol/has-instance,Has instance symbol.,,,false,false,false,
symbol/is-concat-spreadable,Concat spreadable symbol.,,,false,false,false,
symbol/iterator,Symbol iterator.,IteratorSymbol,symbol,false,false,false,symbol/ctor
symbol,Symbol.,,,false,false,false,
symbol/replace,Replace symbol.,,,false,false,false,
symbol/to-primitive,Symbol which specifies a method for converting an object to a primitive value.,,,false,false,false,
time/base,"Base (i.e., lower-level) time utilities.",,,false,false,false,
time/base/parse-duration,Parse a duration string into an object.,,,false,false,false,
time/current-year,Current year.,currentYear,Function,true,false,false,assert/is-current-year
time/day-of-quarter,Determine the day of the quarter.,dayOfQuarter,Function,true,false,false,time/day-of-year
time/day-of-year,Determine the day of the year.,dayOfYear,Function,true,false,false,time/day-of-quarter
time/days-in-month,Determine the number of days in a month.,daysInMonth,Function,true,false,false,time/days-in-year
time/days-in-year,Determine the number of days in a year according to the Gregorian calendar.,daysInYear,Function,true,false,false,time/days-in-month
time/duration2ms,Convert a duration string to milliseconds.,,,true,false,false,
time/hours-in-month,Determine the number of hours in a month.,hoursInMonth,Function,true,false,false,time/hours-in-year
time/hours-in-year,Determine the number of hours in a year according to the Gregorian calendar.,hoursInYear,Function,true,false,false,time/hours-in-month
time/iso-weeks-in-year,Determine the number of ISO weeks in a year according to the Gregorian calendar.,isoWeeksInYear,Function,true,false,false,
time/minutes-in-month,Determine the number of minutes in a month.,minutesInMonth,Function,true,false,false,time/minutes-in-year
time/minutes-in-year,Determine the number of minutes in a year according to the Gregorian calendar.,minutesInYear,Function,true,false,false,time/minutes-in-month
time/ms2duration,Convert a number of milliseconds to a string duration.,,,true,false,false,
time/now,Time in seconds since the epoch.,now,Function,true,false,false,
time,Time utilities.,,,false,false,false,
time/quarter-of-year,Determine the quarter of the year.,quarterOfYear,Function,true,false,false,time/day-of-year
time/seconds-in-month,Determine the number of seconds in a month.,secondsInMonth,Function,true,false,false,time/seconds-in-year
time/seconds-in-year,Determine the number of seconds in a year according to the Gregorian calendar.,secondsInYear,Function,true,false,false,time/seconds-in-month
time/tic,Return a high-resolution time.,tic,Function,false,false,false,time/toc
time/toc,Return a high-resolution time difference.,toc,Function,false,false,false,time/tic
types,stdlib TypeScript type declarations.,,,false,false,false,
